id,state,district,village,season,year,latitude,longitude,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,temperature,humidity,rainfall,crop_recommended,soil_type
SHC000049,Punjab,Ludhiana,Village_49,Zaid,2023,33.8663,96.7804,292.8,32.1,359.5,8.81,2.08,0.761,25.1,0.41,12.2,1.2,9.0,0.62,15.3,77.9,217.0,orange,Red
SHC000050,Maharashtra,Pune,Village_50,Kharif,2024,12.929,85.588,78.8,75.9,333.4,8.66,0.27,0.204,23.0,1.93,6.4,1.69,6.5,0.39,38.1,90.9,1672.3,papaya,Black
SHC000051,Uttar Pradesh,Meerut,Village_51,Kharif,2024,21.7142,88.8626,308.7,68.1,176.6,6.49,3.22,1.584,29.9,1.31,19.4,1.3,7.9,0.88,24.3,71.7,2057.5,coconut,Black
SHC000052,Punjab,Ludhiana,Village_52,Zaid,2023,31.6551,83.2001,87.7,65.6,199.5,8.47,0.72,1.48,20.6,0.92,2.9,1.5,4.5,0.22,21.8,61.7,2059.0,coffee,Black
SHC000053,Maharashtra,Pune,Village_53,Rabi,2024,19.2975,69.6885,356.6,78.5,270.3,7.22,3.83,0.908,34.1,2.54,11.1,0.74,8.3,0.62,40.3,91.4,1455.9,tea,Black
SHC000054,Uttar Pradesh,Meerut,Village_54,Rabi,2022,30.5966,90.7807,337.0,14.0,246.1,5.54,2.73,0.761,40.5,0.38,11.2,0.46,6.0,1.25,28.9,48.2,274.4,mustard,Desert
SHC000055,Punjab,Ludhiana,Village_55,Zaid,2024,25.9951,92.8251,242.8,38.5,159.5,6.38,3.49,0.807,49.4,1.9,16.7,1.53,6.9,1.98,30.0,47.1,1694.7,groundnut,Desert
SHC000056,Maharashtra,Pune,Village_56,Zaid,2023,10.7959,95.8655,168.6,27.9,114.3,5.7,1.78,0.816,25.8,2.17,13.6,1.53,8.3,1.73,32.7,37.6,1134.2,sesame,Red
SHC000057,Uttar Pradesh,Meerut,Village_57,Zaid,2023,8.5375,95.5017,305.5,20.7,233.5,5.77,0.14,0.905,35.2,2.87,15.9,0.77,4.0,1.09,20.7,84.1,586.3,rice,Laterite
SHC000058,Punjab,Ludhiana,Village_58,Rabi,2023,11.327,86.1138,380.5,58.4,343.8,6.75,1.52,0.791,35.7,1.65,10.5,0.39,7.1,1.48,20.9,79.4,2222.6,wheat,Alluvial
SHC000059,Maharashtra,Pune,Village_59,Kharif,2023,31.657,82.1316,335.3,25.1,119.2,5.24,3.89,0.496,44.3,1.08,2.7,0.8,5.5,0.3,42.7,88.5,543.0,maize,Alluvial
SHC000060,Uttar Pradesh,Meerut,Village_60,Kharif,2024,9.4959,81.66,149.9,60.8,133.3,7.51,3.8,1.017,27.1,1.59,9.5,1.4,5.2,2.0,18.5,48.5,684.8,sugarcane,Desert
SHC000061,Punjab,Ludhiana,Village_61,Zaid,2022,19.5859,84.5745,189.2,34.4,253.2,6.98,1.49,1.647,10.1,0.53,3.5,1.74,4.7,0.96,32.3,51.1,621.2,cotton,Alluvial
SHC000062,Maharashtra,Pune,Village_62,Zaid,2023,17.3938,70.6746,259.1,65.2,390.9,5.36,3.01,1.273,8.6,2.21,2.5,2.38,7.5,1.41,18.6,89.7,2267.5,jute,Black
SHC000063,Uttar Pradesh,Meerut,Village_63,Rabi,2024,21.2887,71.332,67.9,14.1,270.6,6.29,2.36,1.267,46.1,2.67,14.9,2.47,1.0,0.13,28.8,72.5,2026.4,chickpea,Alluvial
SHC000064,Punjab,Ludhiana,Village_64,Zaid,2022,21.6298,72.0942,81.0,40.8,101.6,8.84,0.77,0.955,33.5,2.09,12.2,0.62,5.2,0.71,17.7,55.2,1600.3,kidneybeans,Alluvial
SHC000065,Maharashtra,Pune,Village_65,Zaid,2024,33.7188,76.6348,237.4,30.8,213.7,6.91,3.18,0.465,14.6,0.77,3.0,1.97,2.7,0.93,35.6,59.2,2283.8,pigeonpeas,Alluvial
SHC000066,Uttar Pradesh,Meerut,Village_66,Zaid,2022,24.3232,70.4261,132.8,34.6,315.5,7.21,0.16,0.803,47.5,0.7,6.3,0.99,3.4,0.33,24.4,65.1,1753.1,mothbeans,Desert
SHC000067,Punjab,Ludhiana,Village_67,Kharif,2023,11.3175,87.8834,292.6,60.8,329.6,6.26,3.98,0.331,35.2,2.92,6.0,0.91,6.2,1.58,24.9,84.4,754.4,mungbean,Black
SHC000068,Maharashtra,Pune,Village_68,Rabi,2022,17.5579,82.4768,345.8,63.2,234.8,6.13,3.43,1.766,27.1,2.15,8.6,0.53,3.9,1.4,38.1,85.4,240.7,blackgram,Black
SHC000069,Uttar Pradesh,Meerut,Village_69,Kharif,2023,15.991,68.2544,207.9,62.5,290.3,8.71,2.77,0.454,19.2,0.55,16.3,2.86,3.0,1.55,28.1,53.1,2469.8,lentil,Red
SHC000070,Punjab,Ludhiana,Village_70,Zaid,2023,22.2052,96.0563,143.9,49.9,214.5,6.69,0.32,1.439,16.2,1.51,9.8,1.46,4.4,0.56,28.5,33.0,757.3,pomegranate,Red
SHC000071,Maharashtra,Pune,Village_71,Rabi,2023,25.0792,91.5267,94.7,46.8,134.9,8.11,2.13,1.658,41.6,1.51,10.9,0.18,5.7,1.39,22.0,94.1,2442.1,banana,Laterite
SHC000072,Uttar Pradesh,Meerut,Village_72,Rabi,2024,8.81,87.3068,268.4,67.6,191.3,8.51,3.45,1.405,27.8,1.93,15.1,2.93,2.1,0.69,38.4,56.6,1746.7,mango,Laterite
SHC000073,Punjab,Ludhiana,Village_73,Kharif,2024,14.2617,75.9256,184.1,15.0,169.3,7.86,1.05,1.897,25.8,0.48,17.2,2.75,9.4,1.04,42.6,76.1,649.9,grapes,Laterite
SHC000074,Maharashtra,Pune,Village_74,Zaid,2023,12.8452,74.9142,306.1,55.9,168.9,6.08,0.49,0.946,23.9,0.61,17.0,2.57,2.0,0.61,37.1,86.5,364.8,watermelon,Alluvial
SHC000075,Uttar Pradesh,Meerut,Village_75,Rabi,2023,25.1122,68.6402,374.9,34.8,294.6,5.74,1.35,1.545,48.9,2.98,16.6,2.56,9.7,0.18,20.1,33.4,1352.7,muskmelon,Red
SHC000076,Punjab,Ludhiana,Village_76,Kharif,2023,22.9959,91.9739,375.1,58.9,368.6,5.7,2.06,0.856,22.0,0.8,18.1,1.41,5.8,0.62,43.9,69.7,201.6,apple,Desert
SHC000077,Maharashtra,Pune,Village_77,Zaid,2022,34.3189,83.7939,247.4,73.1,312.6,8.73,1.97,1.957,30.7,2.01,3.5,1.87,7.9,0.93,30.1,55.6,2428.8,orange,Laterite
SHC000078,Uttar Pradesh,Meerut,Village_78,Kharif,2023,28.8567,83.8825,51.0,36.8,374.2,8.79,0.31,0.422,8.2,2.63,3.3,0.41,3.0,1.84,35.6,70.1,2004.7,papaya,Red
SHC000079,Punjab,Ludhiana,Village_79,Zaid,2022,9.9887,85.1032,313.6,49.6,103.5,5.84,3.86,1.468,36.9,2.05,4.3,0.11,5.0,0.94,39.4,41.8,832.8,coconut,Desert
SHC000080,Maharashtra,Pune,Village_80,Zaid,2023,27.4473,80.5853,366.0,20.1,186.4,8.82,2.27,1.857,49.3,1.21,12.4,2.56,3.5,0.95,19.6,72.4,209.6,coffee,Alluvial
SHC000081,Uttar Pradesh,Meerut,Village_81,Rabi,2023,29.7857,89.2461,214.0,49.2,282.6,6.08,0.64,0.878,12.0,1.08,11.9,1.67,2.1,0.12,17.7,32.3,1121.1,tea,Red
SHC000082,Punjab,Ludhiana,Village_82,Zaid,2024,18.2889,93.7057,232.3,78.2,354.0,7.95,2.58,1.703,45.0,0.57,8.5,2.44,3.0,1.21,38.4,44.6,1124.6,mustard,Alluvial
SHC000083,Maharashtra,Pune,Village_83,Zaid,2024,29.8365,75.3985,282.8,14.1,388.1,7.68,1.34,1.591,8.7,1.25,18.1,0.86,7.0,0.78,26.8,78.5,2293.5,groundnut,Alluvial
SHC000084,Uttar Pradesh,Meerut,Village_84,Kharif,2023,27.9341,95.9466,321.6,42.6,181.8,6.21,1.21,0.701,10.9,0.82,3.9,0.12,3.6,0.77,42.8,94.7,1532.7,sesame,Red
SHC000085,Punjab,Ludhiana,Village_85,Kharif,2023,9.1524,69.2933,60.8,20.5,123.1,5.78,2.12,1.106,22.5,2.06,9.1,0.74,7.2,1.96,39.3,56.9,1064.0,rice,Red
SHC000086,Maharashtra,Pune,Village_86,Zaid,2022,17.8308,95.0578,211.1,21.5,387.3,7.06,2.12,0.894,43.1,1.01,2.2,1.54,9.3,0.62,23.0,78.0,1983.7,wheat,Red
SHC000087,Uttar Pradesh,Meerut,Village_87,Rabi,2022,12.6422,78.6437,191.5,31.9,165.3,6.35,0.17,1.466,36.7,1.46,7.8,1.36,9.4,1.25,36.9,44.9,417.9,maize,Laterite
SHC000088,Punjab,Ludhiana,Village_88,Zaid,2024,10.713,95.9287,382.6,46.6,188.7,5.55,3.31,1.289,35.4,2.61,10.0,1.17,7.9,0.66,24.8,54.8,2169.6,sugarcane,Desert
SHC000089,Maharashtra,Pune,Village_89,Rabi,2022,11.8775,79.391,268.6,57.3,160.1,6.0,3.73,0.893,21.2,2.15,10.4,0.82,4.7,0.37,23.4,57.2,1391.4,cotton,Alluvial
SHC000090,Uttar Pradesh,Meerut,Village_90,Kharif,2024,22.734,95.5792,336.4,26.6,164.0,7.65,2.42,1.184,14.5,1.22,15.7,2.2,2.5,0.91,28.3,63.1,1260.7,jute,Black
SHC000091,Punjab,Ludhiana,Village_91,Kharif,2023,10.9773,88.8176,73.7,45.2,258.1,8.11,0.15,1.775,35.9,0.29,4.9,0.21,7.9,0.42,16.4,39.0,1487.0,chickpea,Laterite
SHC000092,Maharashtra,Pune,Village_92,Rabi,2022,19.3869,68.9041,339.3,70.3,244.5,7.58,1.96,0.733,30.7,2.13,4.8,1.64,8.0,1.0,19.7,86.5,1749.9,kidneybeans,Black
SHC000093,Uttar Pradesh,Meerut,Village_93,Zaid,2023,33.6574,74.5698,201.5,20.9,178.8,5.74,0.42,1.243,18.1,2.98,11.3,1.14,9.2,1.28,18.8,62.4,1214.5,pigeonpeas,Red
SHC000094,Punjab,Ludhiana,Village_94,Kharif,2022,20.3161,91.3329,117.5,36.2,123.9,8.23,3.9,1.238,40.2,1.32,12.1,1.11,7.3,0.57,19.6,88.4,2187.8,mothbeans,Black
SHC000095,Maharashtra,Pune,Village_95,Zaid,2024,24.6832,90.5883,246.7,64.5,356.3,5.7,1.29,1.282,20.2,2.84,5.5,1.14,9.9,0.46,28.5,50.4,2062.5,mungbean,Red
SHC000096,Uttar Pradesh,Meerut,Village_96,Rabi,2023,21.8248,71.3157,327.5,31.1,374.0,8.36,0.35,0.296,34.4,0.42,12.3,0.33,5.3,0.9,32.7,53.2,522.1,blackgram,Black
SHC000097,Punjab,Ludhiana,Village_97,Kharif,2024,29.6559,94.4133,129.3,65.5,132.6,6.7,3.76,1.901,20.5,0.74,4.7,1.49,1.8,0.78,15.5,46.9,2270.6,lentil,Alluvial
SHC000098,Maharashtra,Pune,Village_98,Kharif,2023,12.7686,69.5517,160.8,47.8,176.6,8.83,1.98,0.434,25.4,2.18,10.8,1.06,2.0,0.97,17.9,54.1,467.3,pomegranate,Red
SHC000099,Uttar Pradesh,Meerut,Village_99,Rabi,2022,14.5741,70.1668,171.5,49.2,330.4,6.61,1.53,1.835,26.9,1.45,9.4,1.15,7.6,0.64,26.4,48.3,1511.7,banana,Desert
SHC000100,Punjab,Ludhiana,Village_100,Kharif,2024,34.1415,87.0441,328.4,33.3,167.3,7.31,3.96,1.478,36.6,1.46,17.8,2.12,7.1,0.66,43.7,46.3,1404.5,mango,Laterite
SHC000101,Maharashtra,Pune,Village_101,Zaid,2022,27.1187,90.332,52.5,62.8,241.7,6.81,2.21,0.688,37.2,1.03,12.1,0.5,7.1,0.46,20.1,31.6,480.1,grapes,Red
SHC000102,Uttar Pradesh,Meerut,Village_102,Kharif,2023,16.2314,90.2793,50.1,29.3,327.5,8.89,0.77,1.027,32.7,2.87,10.2,2.81,9.8,1.89,37.5,38.2,1585.6,watermelon,Laterite
SHC000103,Punjab,Ludhiana,Village_103,Rabi,2023,29.0049,83.6291,121.8,42.0,291.5,6.3,1.88,0.231,44.9,0.3,9.4,1.58,9.8,1.88,34.4,68.0,1043.1,muskmelon,Black
SHC000104,Maharashtra,Pune,Village_104,Zaid,2024,26.2054,82.8741,183.5,14.6,187.9,8.54,0.78,0.595,16.6,2.69,14.6,2.66,9.2,1.86,29.6,61.0,2106.5,apple,Alluvial
SHC000105,Uttar Pradesh,Meerut,Village_105,Rabi,2022,16.1373,91.1726,104.7,60.8,139.0,6.98,2.97,1.292,35.1,0.78,16.9,2.86,2.4,1.79,26.9,75.4,1365.5,orange,Red
SHC000106,Punjab,Ludhiana,Village_106,Kharif,2024,9.2821,95.3093,109.6,39.7,292.4,6.85,2.19,0.567,10.8,0.92,7.7,1.31,3.7,0.17,17.8,73.8,345.3,papaya,Black
SHC000107,Maharashtra,Pune,Village_107,Zaid,2023,27.9949,90.5587,107.5,28.7,253.9,5.05,3.49,1.6,10.4,2.58,2.1,0.43,1.5,1.01,38.5,41.6,1974.4,coconut,Desert
SHC000108,Uttar Pradesh,Meerut,Village_108,Kharif,2022,34.8429,94.0888,363.0,68.2,377.1,5.99,1.8,1.064,10.9,2.95,14.4,1.41,9.9,0.62,25.1,42.4,629.0,coffee,Laterite
SHC000109,Punjab,Ludhiana,Village_109,Rabi,2024,33.6268,93.9861,163.3,70.5,386.2,6.18,3.63,1.995,41.5,1.29,13.0,1.16,10.0,0.23,41.8,34.8,297.1,tea,Desert
SHC000110,Maharashtra,Pune,Village_110,Rabi,2024,17.7622,95.7684,351.6,73.1,278.5,8.83,3.26,1.892,19.8,1.69,17.6,1.78,8.2,1.95,39.1,50.5,473.0,mustard,Black
SHC000111,Uttar Pradesh,Meerut,Village_111,Kharif,2024,20.9507,76.9925,228.4,31.6,226.8,8.66,3.67,1.986,28.4,0.67,18.0,1.83,7.7,0.41,24.6,47.9,1487.4,groundnut,Red
SHC000112,Punjab,Ludhiana,Village_112,Rabi,2023,23.4673,90.0134,165.1,27.7,351.4,8.84,1.74,0.274,15.5,2.6,4.2,2.31,6.6,1.48,22.7,31.2,291.4,sesame,Red
SHC000113,Maharashtra,Pune,Village_113,Kharif,2022,30.7776,76.9687,279.3,69.4,145.8,5.18,3.32,1.192,42.8,0.8,17.0,0.38,8.9,1.66,32.0,69.5,995.4,rice,Alluvial
SHC000114,Uttar Pradesh,Meerut,Village_114,Rabi,2022,25.7512,96.9555,336.0,40.4,323.0,5.43,1.72,0.965,50.0,1.29,3.5,0.29,7.3,0.65,41.1,61.4,959.9,wheat,Desert
SHC000115,Punjab,Ludhiana,Village_115,Rabi,2024,23.2375,73.7513,161.1,49.9,212.3,5.93,1.97,0.533,18.3,2.51,6.1,2.12,3.3,0.5,22.5,60.4,536.4,maize,Alluvial
SHC000116,Maharashtra,Pune,Village_116,Zaid,2023,27.9487,78.7336,372.7,33.0,133.3,8.78,2.21,1.948,24.5,2.32,4.0,2.58,2.5,0.23,17.9,66.2,871.3,sugarcane,Black
SHC000117,Uttar Pradesh,Meerut,Village_117,Rabi,2023,29.6893,91.4795,361.7,70.6,378.5,8.74,1.26,0.595,35.0,0.55,5.8,2.34,6.8,1.34,43.5,73.4,1190.9,cotton,Alluvial
SHC000118,Punjab,Ludhiana,Village_118,Rabi,2022,15.501,69.0147,141.6,68.5,318.5,7.49,3.62,0.675,32.3,0.29,18.1,1.4,2.6,0.55,40.4,37.1,2328.0,jute,Red
SHC000119,Maharashtra,Pune,Village_119,Kharif,2022,29.1708,93.8528,244.1,69.4,297.1,7.63,2.36,0.29,47.4,1.2,16.4,2.45,9.7,0.72,44.9,49.5,1238.2,chickpea,Desert
SHC000120,Uttar Pradesh,Meerut,Village_120,Rabi,2022,15.1921,89.1153,391.0,61.3,358.7,5.15,2.35,1.845,36.7,2.09,5.7,2.6,8.8,1.27,27.8,83.6,1269.5,kidneybeans,Alluvial
SHC000121,Punjab,Ludhiana,Village_121,Rabi,2024,21.3552,70.4461,63.1,53.5,120.9,5.29,1.76,0.577,16.6,1.55,7.1,0.74,5.6,0.65,17.4,74.4,1546.9,pigeonpeas,Black
SHC000122,Maharashtra,Pune,Village_122,Rabi,2024,31.492,73.6883,385.3,61.8,328.7,7.66,1.85,1.03,43.2,0.59,11.4,1.0,9.9,0.11,16.9,92.9,1450.7,mothbeans,Laterite
SHC000123,Uttar Pradesh,Meerut,Village_123,Rabi,2023,32.6026,87.9398,95.7,47.6,140.3,7.66,2.94,1.212,48.6,2.84,5.7,0.1,7.0,1.0,25.0,89.6,2450.6,mungbean,Desert
SHC000124,Punjab,Ludhiana,Village_124,Kharif,2023,14.661,81.3942,185.2,53.4,268.9,5.35,0.61,0.293,48.0,2.01,17.4,1.67,2.7,1.29,30.2,56.5,1055.2,blackgram,Black
SHC000125,Maharashtra,Pune,Village_125,Kharif,2023,12.0923,91.6704,272.6,47.5,324.7,5.61,3.69,0.687,19.0,2.48,8.0,2.51,4.0,1.15,21.9,77.5,584.0,lentil,Red
